,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode
4120,2010,11,7,JBU,JETBLUE AIRWAYS,A-320,KSWF,STEWART INTL AIRPORT,NY,APPROACH,NIGHT,3000.0,220.0,12.0,UNKB,UNKNOWN BIRD,1,NONE,2010-11-07,18,New York Stewart International Airport,491.0,Newburgh,"-74.104797, 41.504101",-74.104797, 41.504101,12550
7248,2010,11,7,USCG,US COAST GUARD,LOCKHEED C-130,KMCC,MC CLELLAN AIRFIELD,CA,CLIMB,DAY,47.0,115.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,PRECAUTIONARY LANDING,2010-11-07,17,Mc Clellan Airfield,77.0,Sacramento,"-121.401001, 38.66759872",-121.401001, 38.66759872,95652
6879,2010,11,8,QXE,HORIZON AIR,DHC8 DASH 8,KLAX,LOS ANGELES INTL,CA,APPROACH,DAY,6600.0,234.0,18.0,E1001,COMMON LOON,1,PRECAUTIONARY LANDING,2010-11-08,128,Los Angeles International Airport,125.0,Los Angeles,"-118.407997, 33.942501",-118.407997, 33.942501,90045
1171,2010,11,8,SWA,SOUTHWEST AIRLINES,B-737-700,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,CA,TAKEOFF RUN,NIGHT,0.0,100.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-11-08,112,Norman Y. Mineta San Jose International Airport,62.0,San Jose,"-121.929001, 37.362598",-121.929001, 37.362598,95110
8346,2010,11,8,SWA,SOUTHWEST AIRLINES,B-737-300,KPHL,PHILADELPHIA INTL,PA,APPROACH,DUSK,2500.0,170.0,6.0,UNKBL,UNKNOWN LARGE BIRD,1,NONE,2010-11-08,375,Philadelphia International Airport,36.0,Philadelphia,"-75.24109649658203, 39.87189865112305",-75.24109649658203, 39.87189865112305,19113
7273,2010,11,8,AAL,AMERICAN AIRLINES,MD-82,KOKC,WILL ROGERS WORLD ARPT,OK,TAKEOFF RUN,DAY,0.0,110.0,0.0,N5111,KILLDEER,1,NONE,2010-11-08,53,Will Rogers World Airport,1295.0,Oklahoma City,"-97.60070037841797, 35.39310073852539",-97.60070037841797, 35.39310073852539,73159
10015,2010,11,8,SWA,SOUTHWEST AIRLINES,B-737-700,KOMA,EPPLEY AIRFIELD,NE,LANDING ROLL,DAY,0.0,130.0,0.0,YH004,HORNED LARK,1,NONE,2010-11-08,171,Eppley Airfield,984.0,Omaha,"-95.894096, 41.3032",-95.894096, 41.3032,68110
3221,2010,11,9,SWA,SOUTHWEST AIRLINES,B-737-700,KOAK,METRO OAKLAND INTL,CA,APPROACH,DAY,50.0,140.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE,2010-11-09,132,Metropolitan Oakland International Airport,9.0,Oakland,"-122.221001, 37.721298",-122.221001, 37.721298,94621
4384,2010,11,9,SWA,SOUTHWEST AIRLINES,B-737-700,KDEN,DENVER INTL AIRPORT,CO,TAKEOFF RUN,DAY,0.0,100.0,0.0,YH004,HORNED LARK,1,NONE,2010-11-09,322,Denver International Airport,5431.0,Denver,"-104.672996521, 39.861698150635",-104.672996521, 39.861698150635,80249
10187,2010,11,9,AWE,US AIRWAYS,B-737-400,KALB,ALBANY INTL,NY,LANDING ROLL,DAY,0.0,124.0,0.0,UNKBS,UNKNOWN SMALL BIRD,11-100,NONE,2010-11-09,37,Albany International Airport,285.0,Albany,"-73.80169677734375, 42.74829864501953",-73.80169677734375, 42.74829864501953,12110
12402,2010,11,9,BUS,BUSINESS,CIRRUS SR 20/22,KVQQ,CECIL ARPT,FL,LANDING ROLL,NIGHT,0.0,70.0,0.0,1G11,WHITE-TAILED DEER,1,OTHER,2010-11-09,4,Cecil Airport,81.0,Jacksonville,"-81.876701355, 30.2187004089",-81.876701355, 30.2187004089,32221
3220,2010,11,9,SWA,SOUTHWEST AIRLINES,B-737-700,KOAK,METRO OAKLAND INTL,CA,LANDING ROLL,DAY,0.0,115.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-11-09,132,Metropolitan Oakland International Airport,9.0,Oakland,"-122.221001, 37.721298",-122.221001, 37.721298,94621
