Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
2011,8,15,BUS,BUSINESS,B-737-500,PMDY,HENDERSON FIELD,PI,APPROACH,NIGHT,30.0,130.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,15,1ASQ,ATLANTIC SOUTHEAST,CRJ100/200,KOMA,EPPLEY AIRFIELD,NE,CLIMB,DAY,5.0,150.0,0.0,O2205,MOURNING DOVE,2-10,NONE
2011,8,16,AAL,AMERICAN AIRLINES,MD-83,KSMF,SACRAMENTO INTL,CA,LANDING ROLL,DAY,0.0,110.0,0.0,YI009,CLIFF SWALLOW,2-10,NONE
2011,8,16,EGF,AMERICAN EAGLE AIRLINES,EMB-145,KFWA,FORT WAYNE INTL,IN,LANDING ROLL,DAY,0.0,126.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,16,SWA,SOUTHWEST AIRLINES,B-737-700,KBUR,BOB HOPE ARPT,CA,LANDING ROLL,DAY,0.0,120.0,0.0,O2111,ROCK PIGEON,2-10,NONE
2011,8,16,SWA,SOUTHWEST AIRLINES,B-737-700,KBNA,NASHVILLE INTL,TN,CLIMB,DAY,10.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,16,SWA,SOUTHWEST AIRLINES,B-737-300,KDAL,DALLAS LOVE FIELD ARPT,TX,APPROACH,DAY,100.0,130.0,1.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
2011,8,16,AWE,US AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,CLIMB,DAWN,10.0,180.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,16,JBU,JETBLUE AIRWAYS,EMB-190,KBUF,BUFFALO-NIAGARA INTL,NY,APPROACH,NIGHT,20.0,135.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,16,PDT,PIEDMONT AIRLINES,DHC8 DASH 8,KPHL,PHILADELPHIA INTL,PA,TAKEOFF RUN,DAY,0.0,96.0,0.0,YI010,TREE SWALLOW,1,NONE
2011,8,16,SWA,SOUTHWEST AIRLINES,B-737-700,KBUR,BOB HOPE ARPT,CA,LANDING ROLL,DAY,0.0,130.0,0.0,O2111,ROCK PIGEON,11-100,NONE
2011,8,16,PDT,PIEDMONT AIRLINES,DHC8 DASH 8,KPHL,PHILADELPHIA INTL,PA,CLIMB,DAY,20.0,120.0,0.0,YI010,TREE SWALLOW,1,NONE
2011,8,16,BUS,BUSINESS,GULFSTREAM 200,KMDT,HARRISBURG INTL,PA,LANDING ROLL,DAY,0.0,125.0,0.0,YI003,BANK SWALLOW,1,NONE
2011,8,17,SWA,SOUTHWEST AIRLINES,B-737-300,KSTL,LAMBERT-ST LOUIS INTL,MO,LANDING ROLL,DAY,0.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,17,AWE,US AIRWAYS,A-319,KRIC,RICHMOND INTL,VA,LANDING ROLL,DAY,0.0,150.0,0.0,YI005,BARN SWALLOW,1,NONE
2011,8,17,SWA,SOUTHWEST AIRLINES,B-737-300,KBNA,NASHVILLE INTL,TN,CLIMB,DAY,7000.0,250.0,20.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
2011,8,17,EGF,AMERICAN EAGLE AIRLINES,EMB-135,KFAT,FRESNO YOSEMITE INTL,CA,APPROACH,NIGHT,1000.0,132.0,1.0,UNKBL,UNKNOWN LARGE BIRD,1,NONE
2011,8,18,QXE,HORIZON AIR,DHC8 DASH 8,KSEA,SEATTLE-TACOMA INTL,WA,APPROACH,DAY,50.0,120.0,0.0,YL001,EUROPEAN STARLING,2-10,NONE
2011,8,18,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,CLIMB,DAY,3000.0,240.0,4.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
